Bird_ID,spec,wing,year,mean_VO2,mean_VCO2,pre_mass,pre_fat,pre_lean,post_mass,post_fat,post_lean,trig,d2H
1,GRCA,89,2017,1.127834,0.765684,34.22,1.1,27.97,32.46,0.89,26.17,0.88,
2,GRCA,88,2017,1.027906,0.6995419,29.32,2.05,22.6,27.83,2.115,21.025,1.897,
3,GRCA,,2017,1.328765,0.9222158,32.38,1.57,29.95,31,1.41,24.575,0.901,
4,GRCA,,2017,1.267849,0.8621968,37.22,3.98,28.39,34.88,3.775,26.24,1.723,
5,GRCA,87,2017,1.352292,0.9444387,37.38,4.125,28.56,34.89,3.845,26.5,1.913,-56.6
6,GRCA,90,2017,1.366443,0.9501217,37.64,3.294,29.2,35.93,3.05,27.945,0.899,
7,GRCA,90,2017,1.165493,0.7977592,32.31,1.24,26.8,30.26,1.05,22.35,1.37,-31.1
8,GRCA,89,2017,1.525942,1.00448,34.5,4.46,25.32,32.83,4.05,24.24,1.051,-47.4
9,GRCA,,2017,1.210457,0.8117072,36.44,1.35,29.73,32.19,0.865,26.44,5.921,
10,GRCA,,2017,1.245768,0.8762873,33.5,1.205,27.675,31.11,0.85,25.79,0.546,
11,GRCA,93,2017,1.066463,0.7763188,29.76,1.08,23.52,28.47,0.96,22.35,0.84,-44.2
12,GRCA,,2017,1.285496,0.9333361,35.97,0.93,28.68,32.15,0.76,26.03,1.892,
13,GRCA,92,2017,1.27627,0.8514785,42.9,11.64,26.11,40.93,10.56,25.55,2.092,-57.9
14,GRCA,88,2017,1.10437,0.742787,37.19,8.95,24.11,35.4,8.25,23.21,1.473,-63
15,GRCA,,2017,1.181944,0.8089832,33.96,1.23,28.04,30.85,1.195,24.97,2.113,
16,GRCA,88,2017,0.9753633,0.6850361,37.18,8.87,24.24,35.49,7.735,23.26,2.021,-58.1
17,GRCA,92,2018,1.211336,0.895572,32.59,0.71,27.1,30.19,0.805,24.485,0.652,
18,GRCA,85,2018,1.524085,1.099755,32.82,7.13,21.75,31.16,6.775,20.62,,
19,GRCA,92,2018,1.313905,0.984539,40.71,11.62,24.56,39.37,11.045,23.415,,
20,GRCA,84,2018,1.365306,1.050322,31.99,6.46,21.69,30.6,5.69,20.63,1.814,
21,GRCA,88,2018,1.738883,1.311219,42.57,13.57,24.605,40.97,12.71,23.615,1.894,
22,GRCA,93,2018,0.7058993,0.5331188,31.13,0.89,24.9,28.87,0.23,23.45,0.867,
23,GRCA,86,2018,1.021943,0.770587,33.13,4.105,25.325,31.15,3.46,23.355,,
24,GRCA,85,2018,1.099531,0.9328222,32.34,3.635,24.92,30.06,2.335,23.56,,
25,GRCA,,2016,1.210681,0.7658482,29.99,0.84,22.8,,,,1.198,
26,GRCA,96,2016,1.500139,1.038207,37.52,3.3,22.1,,,,0.931,-22.6
27,GRCA,,2016,1.075717,0.6886036,33.97,3.5,25.05,,,,,
28,GRCA,87,2016,,,34.39,3.34,25.2,,,,1.083,-50.9
29,GRCA,91,2016,1.402692,0.8266708,31.38,1.78,24.3,,,,0.5,-69.3
30,GRCA,86,2016,1.327118,0.8952105,37.4,9.88,24.7,,,,1.428,-43.3
31,GRCA,,2016,1.440624,0.9731149,29.66,0.4,23.38,,,,0.841,
32,GRCA,90,2016,1.341054,0.8801674,33.66,3.94,24.96,,,,1.316,-55.2
33,GRCA,90,2016,1.635644,1.055839,34.43,1.77,24.47,,,,0.995,-40.6
34,GRCA,92,2016,1.902144,1.236156,32.04,3.23,24.09,,,,0.958,-43.2
35,GRCA,91,2016,1.701477,1.10243,33.54,2.75,25.89,,,,1.342,-61.4
36,GRCA,90,2016,1.34011,0.826267,27.5,0,19.22,,,,0.778,-45
37,GRCA,93,2016,1.739925,1.104877,29.72,1.35,22.76,,,,1.292,-43.5
38,GRCA,90,2016,,,24.54,0.21,22.11,,,,0.101,-53.9
39,GRCA,86,2016,1.336903,0.970286,33.6,1.83,27.085,,,,1.042,-36.8
40,GRCA,87,2016,1.463682,1.063675,31.86,2.59,24.45,,,,1.404,-71.1
